well_id,lat,lon,arsenic_ug_l
S98_02758,23.836,89.872,4.7
S98_02759,23.968,89.83,< 0.5
S98_02760,23.744,89.978,65
S98_02761,23.748,90.016,12.9
S98_02762,23.764,89.962,82.7
S98_02763,23.771,89.91,88.8
S98_02764,23.774,89.9,1
S98_02765,23.877,89.91,20.2
S98_02766,23.893,89.878,15.4
S98_02767,23.926,89.859,35
S98_02768,23.893,89.89,18.6
S98_02769,23.871,89.839,30.6
S98_02770,23.801,89.96,20.1
S98_02771,23.975,89.906,14.7
S98_02772,23.947,89.931,0.8
S98_02773,23.919,89.835,13.2
S98_02774,23.937,89.783,12.2
S98_02775,23.991,90.044,2.9
S98_02776,23.972,90.041,18.2
S98_02777,23.972,89.992,3.6
S98_02778,23.994,89.96,8.2
S98_02779,23.969,89.967,< 0.5
S98_02780,23.95,90.023,31.2
S98_02781,23.917,90.034,< 0.5
S98_02782,23.918,89.979,62.8
S98_02783,23.899,90.041,14.9
S98_02784,23.906,90.194,< 0.5
S98_02785,23.926,90.179,3.6
S98_02786,23.995,90.081,21.2
S98_02787,23.961,90.082,5.9
S98_02788,23.946,90.115,29.9
S98_02789,23.92,90.139,3.6
S98_02790,23.893,90.13,107
S98_02791,23.834,90.26,1
S98_02792,23.88,90.268,< 0.5
S98_02793,23.91,90.301,< 0.5
S98_02794,23.933,90.308,< 0.5
S98_02795,23.991,90.248,< 0.5
S98_02796,23.911,90.234,< 0.5
S98_02797,23.79,90.269,< 0.5
S98_02798,23.794,90.293,< 0.5
S98_02799,23.73,90.339,13.3
S98_02800,23.73,90.317,< 0.5
S98_02801,23.732,90.276,43.3
S98_02802,23.687,90.287,98.4
S98_02803,23.686,90.308,< 0.5
S98_02804,23.701,90.384,< 0.5
S98_02805,23.667,90.434,< 0.5
S98_02806,23.632,90.081,262
S98_02807,23.642,90.047,11.7
S98_02808,23.595,90.139,107
S98_02809,23.577,90.148,65
S98_02810,23.538,90.176,81.1
S98_02811,23.659,90.166,94.2
S98_02812,23.644,90.179,95.6
S98_02813,23.631,90.21,58.7
S98_02814,23.622,90.226,70.4
S98_02815,23.649,90.204,262
S98_02816,23.641,90.215,81.2
S98_02817,24.382,91.903,< 0.5
S98_02818,24.405,91.858,47.1
S98_02819,24.404,91.846,7.3
S98_02820,24.315,91.843,< 0.5
S98_02821,24.354,91.846,13.8
S98_02822,24.321,91.855,< 0.5
S98_02823,24.278,91.864,18.4
S98_02824,24.356,91.858,8.7
S98_02825,24.518,91.976,17.6
S98_02826,24.566,91.978,3.4
S98_02827,24.502,92.03,7.4
S98_02828,24.502,92.03,32.2
S98_02829,24.528,92.038,39
S98_02830,24.459,92.152,< 0.5
S98_02831,24.487,92.144,< 0.5
S98_02832,24.59,92.118,2.2
S98_02833,24.562,92.162,< 0.5
S98_02834,24.84,91.768,< 0.5
S98_02835,24.814,91.759,2.7
S98_02836,24.859,91.731,2.1
S98_02837,24.79,91.661,29.9
S98_02838,24.784,91.713,23
S98_02839,24.916,91.722,10
S98_02840,24.878,92.37,< 0.5
S98_02841,24.891,92.373,29.3
S98_02842,24.944,92.385,50.8
S98_02843,24.577,91.689,74.5
S98_02844,24.484,91.682,58.5
S98_02845,24.486,91.633,23.7
S98_02846,24.461,91.65,27.6
S98_02847,24.49,91.75,11.5
S98_02848,24.412,91.758,3.8
S98_02849,24.485,91.767,4.5
S98_02850,24.519,91.779,56.9
S98_02851,24.484,91.781,1.1
S98_02852,24.605,91.85,7.3
S98_02853,24.556,91.853,25
S98_02854,24.622,91.929,1.5
S98_02855,24.597,91.903,0.6
S98_02856,24.517,91.897,< 0.5
S98_02857,24.482,91.894,< 0.5
S98_02858,24.5,91.815,< 0.5
S98_02859,24.705,91.802,10.1
S98_02860,24.712,91.799,17.1
S98_02861,24.632,91.688,157
S98_02862,24.67,91.749,71.9
S98_02863,24.719,91.695,29.8
S98_02864,24.718,91.695,19.4
S98_02865,24.75,91.829,26.8
S98_02866,24.754,91.786,24.1
S98_02867,24.797,92.12,1.6
S98_02868,24.812,92.181,< 0.5
S98_02869,24.31,91.741,3.1
S98_02870,24.259,91.737,< 0.5
S98_02871,24.211,91.696,3.7
S98_02872,24.271,91.646,4.2
S98_02873,24.4,91.637,9.5
S98_02874,24.3,91.666,21.4
S98_02875,24.373,91.751,14.6
S98_02876,24.69,92.188,1.8
S98_02877,24.793,92.241,< 0.5
S98_02878,24.739,92.208,1.5
S98_02879,24.749,92.143,< 0.5
S98_02880,24.667,92.192,2.5
S98_02881,24.655,92.148,18.4
S98_02882,24.573,92.167,1.7
S98_02883,24.697,91.943,< 0.5
S98_02884,24.684,91.983,< 0.5
S98_02885,24.656,91.987,< 0.5
S98_02886,24.665,91.944,< 0.5
S98_02887,24.741,91.926,12.4
S98_02888,24.792,92.034,< 0.5
S98_02889,24.754,92.022,< 0.5
S98_02890,24.8,91.985,< 0.5
S98_02891,24.815,91.971,2.7
S98_02892,24.848,91.936,5.9
S98_02893,24.848,92.023,4.6
S98_02894,24.848,92.023,4.8
S98_02895,25.044,92.2,50.1
S98_02896,24.908,92.129,5.5
S98_02897,24.912,92.139,5
S98_02898,24.99,92.348,11
S98_02899,24.995,92.271,35.8
S98_02900,25.108,91.762,8.6
S98_02901,25.108,91.761,24.7
S98_02902,25.044,91.804,24.8
S98_02903,24.944,92.442,83.3
S98_02904,24.892,92.485,< 0.5
S98_02905,24.874,92.436,35.7
S98_02906,24.94,92.23,3.3
S98_02907,25.134,91.95,58
S98_02908,25.043,91.988,20.2
S98_02909,24.996,91.992,6.2
S98_02910,24.926,91.494,60.7
S98_02911,24.887,91.479,36
S98_02912,24.916,91.428,55.9
S98_02913,24.922,91.411,51.7
S98_02914,24.876,91.351,44.4
S98_02915,24.978,91.368,27.2
S98_02916,25.093,91.428,32.8
S98_02917,24.939,91.685,15.9
S98_02918,24.999,91.664,8.2
S98_02919,24.927,91.692,24.3
S98_02920,24.796,92.166,< 0.5
S98_02921,24.855,92.185,5.2
S98_02922,24.88,92.214,51.9
S98_02923,24.898,92.14,< 0.5
S98_02924,25.155,92.021,< 0.5
S98_02925,25.156,92.108,14.3
S98_02926,25.092,92.107,19
S98_02927,25.064,92.116,6.7
S98_02928,25.065,92.151,1.5
S98_02929,24.91,91.77,9.2
S98_02930,24.923,91.876,< 0.5
S98_02931,24.919,91.961,7.1
S98_02932,24.89,91.892,< 0.5
S98_02933,24.87,91.914,< 0.5
S98_02934,24.802,91.915,29.7
S98_02935,24.814,91.864,< 0.5
S98_02936,24.804,91.547,19.4
S98_02937,24.767,91.532,15.8
S98_02938,24.753,91.571,10.8
S98_02939,24.723,91.574,1.9
S98_02940,24.77,91.555,12.5
S98_02941,24.787,91.638,33.8
S98_02942,24.791,91.664,34.7
S98_02943,24.926,91.511,58.7
S98_02944,24.942,91.589,37.2
S98_02945,24.939,91.651,28.1
S98_02946,25.077,91.779,70.3
S98_02947,24.992,91.853,< 0.5
S98_02948,25.064,91.87,61.4
S98_02949,24.092,91.581,1.3
S98_02950,24.15,91.55,< 0.5
S98_02951,24.258,91.536,34.2
S98_02952,24.271,91.476,33.3
S98_02953,24.269,91.479,20.3
S98_02954,24.193,91.431,< 0.5
S98_02955,24.142,91.487,< 0.5
S98_02956,24.306,91.3,1.6
S98_02957,24.286,91.26,39.6
S98_02958,24.261,91.254,10.6
S98_02959,24.274,91.283,< 0.5
S98_02960,24.298,91.518,19.1
S98_02961,24.369,91.572,< 0.5
S98_02962,24.363,91.523,16
S98_02963,24.098,91.289,< 0.5
S98_02964,24.105,91.273,11
S98_02965,24.048,91.359,< 0.5
S98_02966,24.157,91.352,< 0.5
S98_02967,24.2,91.317,< 0.5
S98_02968,24.213,91.363,< 0.5
S98_02969,24.355,91.447,17.3
S98_02970,24.307,91.432,8.1
S98_02971,24.275,91.364,< 0.5
S98_02972,24.303,91.45,18.7
S98_02973,24.351,91.369,< 0.5
S98_02974,24.383,91.413,2
S98_02975,24.378,91.414,1.8
S98_02976,24.575,91.513,10.7
S98_02977,24.628,91.541,25.6
S98_02978,24.612,91.629,4.4
S98_02979,24.572,91.603,0.5
S98_02980,24.469,91.574,< 0.5
S98_02981,24.542,91.56,6.7
S98_02982,24.489,91.474,12.1
S98_02983,24.088,91.098,< 0.5
S98_02984,24.072,91.11,< 0.5
S98_02985,24.064,91.18,2
S98_02986,24.05,91.176,11.9
S98_02987,24.045,91.067,316
S98_02988,23.708,91.139,1.7
S98_02989,23.748,91.138,< 0.5
S98_02990,23.77,91.071,105
S98_02991,23.746,91.078,24.7
S98_02992,23.791,91.175,0.5
S98_02993,23.77,91.112,< 0.5
S98_02994,23.811,91.125,5.6
S98_02995,24.039,91.005,382
S98_02996,23.985,90.979,42.2
S98_02997,24.419,91.539,5.8
S98_02998,24.426,91.609,< 0.5
S98_02999,24.285,91.495,38.5
S98_03000,24.231,91.245,0.8
S98_03001,24.216,91.223,< 0.5
S98_03002,24.164,91.229,357
S98_03003,24.139,91.192,< 0.5
S98_03004,24.154,91.153,0.8
S98_03005,23.895,91.228,< 0.5
S98_03006,23.808,91.204,< 0.5
S98_03007,23.84,91.153,110
S98_03008,23.836,91.198,< 0.5
S98_03009,23.838,91.238,5.8
S98_03010,23.865,91.214,< 0.5
S98_03011,23.98,91.111,< 0.5
S98_03012,24.04,91.143,31.5
S98_03013,24.071,91.26,< 0.5
S98_03014,23.971,91.264,< 0.5
S98_03015,23.945,91.214,< 0.5
S98_03016,24.024,91.09,68.4
S98_03017,23.924,91.117,< 0.5
S98_03018,23.866,91.149,230
S98_03019,23.904,91.22,< 0.5
S98_03020,23.468,90.333,87.6
S98_03021,23.481,90.367,318
S98_03022,23.468,90.321,274
S98_03023,23.478,90.305,111
S98_03024,23.473,90.279,347
S98_03025,23.474,90.256,192
S98_03026,23.544,90.624,293
S98_03027,23.56,90.653,188
S98_03028,23.54,90.673,47.9
S98_03029,23.594,90.63,312
S98_03030,23.588,90.6,224
S98_03031,23.572,90.374,14.3
S98_03032,23.543,90.389,501
S98_03033,23.556,90.428,253
S98_03034,23.571,90.424,458
S98_03035,23.603,90.359,218
S98_03036,23.627,90.312,187
S98_03037,23.614,90.335,129
S98_03038,23.688,90.557,< 0.5
S98_03039,23.661,90.569,1.4
S98_03040,23.545,90.499,4.5
S98_03041,23.519,90.505,56.3
S98_03042,23.524,90.514,11.7
S98_03043,23.488,90.511,57.6
S98_03044,23.565,90.518,11.7
S98_03045,23.521,90.209,143
S98_03046,23.519,90.257,475
S98_03047,23.539,90.289,193
S98_03048,23.516,90.287,319
S98_03049,23.546,90.337,517
S98_03050,23.576,90.307,130
S98_03051,23.596,90.272,167
S98_03052,23.519,90.443,292
S98_03053,23.501,90.438,216
S98_03054,23.505,90.468,226
S98_03055,23.474,90.456,212
S98_03056,23.489,90.469,70.2
S98_03057,23.429,90.493,76.1
S98_03058,23.441,90.491,76.8
S98_03059,23.472,90.501,108
S98_03060,23.542,90.533,2.4
S98_03061,23.542,90.532,5.9
S98_03062,22.969,89.477,259
S98_03063,22.984,89.446,97.3
S98_03064,22.989,89.462,< 0.5
S98_03065,22.953,89.434,< 0.5
S98_03066,22.981,89.456,< 0.5
S98_03067,22.944,89.478,< 0.5
S98_03068,22.912,89.499,< 0.5
S98_03069,22.633,89.52,< 0.5
S98_03070,22.672,89.53,< 0.5
S98_03071,22.756,89.527,< 0.5
S98_03072,22.716,89.581,538
S98_03073,22.689,89.571,< 0.5
S98_03074,22.717,89.581,< 0.5
S98_03075,22.567,89.322,68
S98_03076,22.617,89.317,8.7
S98_03077,22.624,89.304,97
S98_03078,22.659,89.334,3.9
S98_03079,22.71,89.306,88.3
S98_03080,22.809,89.398,0.8
S98_03081,22.788,89.578,< 0.5
S98_03082,22.816,89.568,< 0.5
S98_03083,22.816,89.567,46.8
S98_03084,22.799,89.538,< 0.5
S98_03085,22.743,89.552,< 0.5
S98_03086,22.826,89.011,501
S98_03087,22.918,89.601,2.9
S98_03088,22.915,89.625,18.6
S98_03089,22.9,89.656,36.8
S98_03090,22.87,89.634,109
S98_03091,22.887,89.6,< 0.5
S98_03092,22.587,89.518,15.8
S98_03093,22.63,89.515,< 0.5
S98_03094,22.8,89.643,39.5
S98_03095,22.812,89.645,55.9
S98_03096,22.813,89.644,1
S98_03097,22.797,89.589,< 0.5
S98_03098,22.797,89.589,87.4
S98_03099,22.84,89.559,< 0.5
S98_03100,22.826,89.575,137
S98_03101,22.84,89.584,3.8
S98_03102,22.83,89.606,18.7
S98_03103,22.865,89.545,< 0.5
S98_03104,22.862,89.525,0.9
S98_03105,22.862,89.525,< 0.5
S98_03106,22.864,89.532,< 0.5
S98_03107,22.831,89.543,1.7
S98_03108,22.811,89.555,0.5
S98_03109,22.837,89.531,< 0.5
